Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,20012,-,-,-,26.25,73.05,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Snow Depth,Wind Speed,
2002,1,1,0,0,0,0,0,0,0,0,-1,12.294977665210126,987.323486328125,37.35545803770546,175.96857570193208,0,1.9730597734451294,N/A
2002,1,1,1,0,0,0,0,0,0,0,-1,11.77876320720975,987.6785888671875,39.942525399011004,168.4067012172779,0,1.8410592079162598,N/A
2002,1,1,2,0,0,0,0,0,0,0,0,11.29264307818653,987.4977416992188,42.92301769491111,155.06080764128478,0,1.693909764289856,N/A
2002,1,1,3,0,0,0,0,0,0,0,0,10.82826551543792,987.8212280273438,45.5527862071681,141.62399892488742,0,1.554065227508545,N/A
2002,1,1,4,0,0,0,0,0,0,0,0,10.37438006484291,987.9993286132812,47.118265535036684,128.2833944925515,0,1.4850893020629883,N/A
2002,1,1,5,0,0,0,0,0,0,0,-8,11.140581503093756,990.4688110351562,24.372640589392443,115.15356129638164,0,3.668065309524536,N/A
2002,1,1,6,0,0,0,0,0,0,0,-8,10.782389463568848,991.2403564453125,24.705155575437008,102.30314024274362,0,3.739746332168579,N/A
2002,1,1,7,0,0,0,0,4,6,4,-8,11.92418287755629,991.8775024414062,22.85906710352575,89.9027958703847,0,3.7328436374664307,N/A
2002,1,1,8,0,74,431,163,75,452,167,-9,15.351144370529937,992.4718017578125,17.801467903025568,78.20276826916698,0,3.151428699493408,N/A
2002,1,1,9,0,104,663,357,112,676,371,-8,19.131754073045556,993.0648803710938,14.185724004785808,67.56914163183447,0,2.2500803470611572,N/A
2002,1,1,10,0,124,754,517,134,784,543,-8,23.958794153064673,992.5416870117188,10.642411720925711,58.604977727246435,0,1.9447580575942993,N/A
2002,1,1,11,0,131,813,630,146,838,659,-8,27.613186028558573,991.8472290039062,8.604528845203934,52.189239746324354,0,1.4885495901107788,N/A
2002,1,1,12,0,139,820,674,150,857,709,-8,29.213320464664548,990.6228637695312,7.702719047009346,49.33366307211035,0,0.8323217034339905,N/A
2002,1,1,13,0,143,793,646,148,848,686,-9,29.569843823901635,989.9278564453125,7.307003738900775,50.64689688517664,0,0.23398154973983765,N/A
2002,1,1,14,0,139,808,593,139,808,593,-9,28.95376428269742,989.3313598632812,7.34121699549035,55.834536813640845,0,0.37651437520980835,N/A
